order_date,daily_revenue
2021-05-22,1346.06
2021-05-23,41050.00
2021-05-26,3242.80
2021-05-27,229.90
2021-05-28,479.70
2021-05-29,5200.00
2021-05-30,328.50
2021-05-31,815.10
2021-06-01,169.90
2021-06-02,6023.85
2021-06-06,535.00
2021-06-07,903.43
2021-06-08,1870.49
2021-06-09,5715.40
2021-06-10,16719.30
2021-06-11,22942.32
2021-06-12,25511.06
2021-06-13,2140.85
2021-06-16,1614.70
2021-06-17,147.32
2021-06-19,239.20
2021-06-20,317.00
2021-06-21,622.40
2021-06-24,7066.00
2021-06-25,17821.10
2021-06-26,7199.80
2021-06-27,20072.80
2021-06-28,159.90
2021-06-29,3382.60
2021-07-01,13020.80
2021-07-02,4599.80
2021-07-03,3599.90
2021-07-05,89.84
2021-07-06,89.84
2021-07-07,89.84
2021-07-08,187.82
2021-07-10,4285.60
2021-07-11,3053.70
2021-07-12,1392.10
2021-07-14,7051.90
2021-07-18,662.50
2021-07-19,200.50
2021-07-21,305.10
2021-07-22,3249.90
2021-07-23,10427.50
2021-07-25,0.00
2021-07-26,9138.90
2021-07-27,830.00
2021-07-28,139.00
2021-07-30,7920.00
2021-07-31,219.80
2021-08-04,3229.10
2021-08-05,309.80
2021-08-06,467.90
2021-08-07,99.10
2021-08-12,137.20
2021-08-14,147.30
2021-08-15,199.80
2021-08-16,1262.00
2021-08-17,332.40
2021-08-18,336.50
2021-08-19,4531.20
2021-08-21,8179.90
2021-08-22,5780.58
2021-08-23,129.90
2021-08-26,227.20
2021-08-27,4531.20
2021-08-29,446.22
2021-08-30,227.20
2021-09-01,6069.60
2021-09-02,55.40
2021-09-03,603.50
2021-09-04,12.00
2021-09-05,57.90
2021-09-08,2024.10
2021-09-09,2312.80
2021-09-10,376.90
2021-09-11,4241.20
2021-09-12,1696.40
2021-09-13,2565.60
2021-09-15,5995.25
2021-09-16,7443.26
2021-09-17,1149.50
2021-09-18,1.60
2021-09-19,179.82
2021-09-26,620.90
2021-09-27,14492.66
2021-09-28,807.00
