order_id,order_date,amount,product_id
1082,2024-06-06,584.43,P008
1083,2024-06-15,504.37,P014
1084,2024-06-26,196.87,P003
1085,2024-06-15,113.66,P002
1086,2024-06-09,681.27,P007
1087,2024-06-19,129.97,P012
1088,2024-06-29,465.2,P006
1089,2024-06-28,809.8,P012
1090,2024-06-08,704.14,P008
1091,2024-06-05,686.69,P002
1092,2024-06-28,694.83,P009
1093,2024-06-12,580.71,P012
1094,2024-06-04,932.31,P005
1095,2024-06-26,890.5,P001
1096,2024-06-01,639.66,P005
1097,2024-06-21,237.61,P001
1098,2024-06-18,472.72,P011
1099,2024-06-29,463.45,P004
1100,2024-06-08,181.36,P013
1101,2024-06-21,538.02,P012
1102,2024-06-01,926.58,P002
1103,2024-06-26,335.26,P012
1104,2024-06-16,529.9,P014
1105,2024-06-17,684.02,P014
1106,2024-06-09,799.9,P001
1107,2024-06-19,937.98,P015
1108,2024-06-28,273.83,P001
1109,2024-06-20,497.74,P003
1110,2024-06-04,356.6,P009
1111,2024-06-29,795.93,P003
1112,2024-06-12,326.09,P020
1113,2024-06-04,265.16,P017
1114,2024-06-04,219.38,P014
1115,2024-06-01,675.97,P008
1116,2024-06-06,847.06,P011
1117,2024-06-30,127.84,P007
1118,2024-06-06,105.32,P003
1119,2024-06-20,441.25,P014
1120,2024-06-30,516.06,P014
1121,2024-06-13,854.98,P006
1122,2024-06-27,105.74,P014
1123,2024-06-03,175.79,P013
1124,2024-06-05,305.56,P008
1125,2024-06-06,882.04,P014
1126,2024-06-10,575.2,P017
1127,2024-06-07,893.04,P005
1128,2024-06-20,931.82,P014
1129,2024-06-08,954.79,P009
1130,2024-06-10,412.81,P016
1131,2024-06-07,997.81,P001
1132,2024-06-25,536.19,P009
1133,2024-06-10,186.01,P018
1134,2024-06-25,132.49,P013
1135,2024-06-17,897.51,P008
1136,2024-06-07,960.48,P015
1137,2024-06-30,360.84,P002
1138,2024-06-02,235.08,P016
1139,2024-06-17,914.09,P002
1140,2024-06-09,930.08,P006
1141,2024-06-03,511.99,P007
1142,2024-06-12,163.89,P020
1143,2024-06-17,574.36,P016
1144,2024-06-01,147.32,P017
1145,2024-06-27,711.17,P016
1146,2024-06-26,852.78,P010
1147,2024-06-15,957.48,P007
1148,2024-06-17,699.22,P007
1149,2024-06-12,762.82,P016
1150,2024-06-08,966.63,P019
1151,2024-06-26,806.77,P015
1152,2024-06-07,431.56,P013
1153,2024-06-07,963.15,P020
1154,2024-06-22,217.87,P012
1155,2024-06-16,279.12,P011
1156,2024-06-25,975.31,P015
1157,2024-06-04,264.47,P015
1158,2024-06-12,684.41,P018
1159,2024-06-08,106.1,P004
1160,2024-06-29,162.98,P010
1161,2024-06-20,574.48,P015
1162,2024-06-23,676.92,P010
1163,2024-06-07,749.32,P007
1164,2024-06-04,691.38,P003
1165,2024-06-06,716.68,P001
1166,2024-06-15,247.03,P017
1167,2024-06-24,853.62,P018
1168,2024-06-16,147.84,P003
1169,2024-06-11,604.72,P011
1170,2024-06-13,282.62,P015
1171,2024-06-22,437.34,P019
1172,2024-06-02,186.44,P020
1173,2024-06-29,356.93,P019
1174,2024-06-02,345.52,P004
1175,2024-06-08,219.88,P005
1176,2024-06-07,611.41,P016
1177,2024-06-08,122.26,P011
1178,2024-06-15,226.06,P020
1179,2024-06-05,575.45,P003
1180,2024-06-10,443.49,P002
1181,2024-06-14,778.87,P010
1182,2024-06-22,941.68,P002
1183,2024-06-07,334.04,P016
1184,2024-06-17,412.02,P002
1185,2024-06-04,149.68,P012
1186,2024-06-02,917.42,P005
1187,2024-06-03,653.67,P018
1188,2024-06-03,360.67,P013
1189,2024-06-20,763.9,P008
1190,2024-06-19,100.91,P009
1191,2024-06-22,245.34,P017
1192,2024-06-15,548.57,P012
1193,2024-06-24,813.23,P005
1194,2024-06-23,460.95,P004
1195,2024-06-26,851.88,P018
1196,2024-06-11,847.39,P006
1197,2024-06-25,487.96,P014
1198,2024-06-19,603.96,P002
1199,2024-06-29,434.06,P014
1200,2024-06-26,545.1,P002
1201,2024-06-14,146.99,P006
1202,2024-06-28,456.51,P011
1203,2024-06-26,119.26,P017
1204,2024-06-05,541.48,P010
1205,2024-06-30,298.54,P012
1206,2024-06-30,815.49,P020
1207,2024-06-18,696.05,P019
1208,2024-06-13,472.89,P002
1209,2024-06-27,330.01,P019
1210,2024-06-11,198.44,P006
1211,2024-06-13,795.61,P010
1212,2024-06-20,880.95,P020
1213,2024-06-05,603.35,P014
1214,2024-06-08,288.1,P019
1215,2024-06-23,954.88,P005
1216,2024-06-14,443.73,P017
1217,2024-06-09,220.23,P002
1218,2024-06-16,332.0,P014
1219,2024-06-14,490.69,P012
1220,2024-06-12,293.9,P016
1221,2024-06-21,130.91,P013
1222,2024-06-24,473.09,P012
1223,2024-06-08,959.53,P006
1224,2024-06-06,849.93,P008
1225,2024-06-01,514.89,P013
1226,2024-06-05,909.45,P014
1227,2024-06-29,337.93,P017
1228,2024-06-04,989.66,P012
1229,2024-06-02,135.5,P010
1230,2024-06-21,207.46,P012
1231,2024-06-25,742.44,P011
1232,2024-06-24,914.11,P018
1233,2024-06-03,598.32,P020
1234,2024-06-27,257.43,P003
1235,2024-06-27,647.28,P006
1236,2024-06-08,756.86,P012
1237,2024-06-07,565.77,P013
1238,2024-06-28,395.63,P003
1239,2024-06-19,776.16,P016
1240,2024-06-04,337.89,P002
1241,2024-06-02,269.03,P010
1242,2024-06-03,336.68,P009
1243,2024-06-30,210.87,P013
1244,2024-06-01,154.23,P004
1245,2024-06-26,141.34,P019
1246,2024-06-09,267.36,P017
1247,2024-06-24,705.76,P013
1248,2024-06-29,189.45,P008
1249,2024-06-02,362.47,P008
1250,2024-06-13,743.9,P013
1251,2024-06-04,204.67,P005
1252,2024-06-15,827.71,P005
1253,2024-06-21,996.25,P019
1254,2024-06-25,439.71,P015
1255,2024-06-16,344.39,P017
1256,2024-06-09,965.67,P018
1257,2024-06-14,333.43,P002
1258,2024-06-15,606.1,P010
1259,2024-06-23,868.06,P002
1260,2024-06-13,197.95,P003
1261,2024-06-06,183.98,P011
1262,2024-06-12,938.21,P008
1263,2024-06-07,891.0,P008
1264,2024-06-22,986.35,P006
1265,2024-06-09,793.83,P014
1266,2024-06-22,467.66,P012
1267,2024-06-19,779.37,P008
1268,2024-06-26,611.26,P019
1269,2024-06-15,127.53,P006
1270,2024-06-05,885.78,P003
1271,2024-06-05,488.02,P002
1272,2024-06-03,869.58,P012
1273,2024-06-29,683.66,P005
1274,2024-06-18,828.28,P003
1275,2024-06-29,194.53,P020
1276,2024-06-26,753.23,P008
1277,2024-06-09,305.61,P014
1278,2024-06-15,388.89,P012
1279,2024-06-24,279.01,P003
1280,2024-06-12,559.85,P014
1281,2024-06-24,998.3,P003
1282,2024-06-01,367.53,P016
1283,2024-06-09,867.51,P014
1284,2024-06-09,829.71,P003
1285,2024-06-25,847.78,P004
1286,2024-06-04,953.26,P015
1287,2024-06-27,643.53,P003
1288,2024-06-29,865.76,P007
1289,2024-06-07,137.42,P015
1290,2024-06-03,733.27,P009
1291,2024-06-09,419.48,P010
1292,2024-06-14,588.89,P011
1293,2024-06-20,756.68,P017
1294,2024-06-09,987.0,P014
1295,2024-06-11,649.54,P009
1296,2024-06-23,136.19,P010
1297,2024-06-21,829.07,P018
1298,2024-06-06,280.3,P007
1299,2024-06-08,244.97,P012
1300,2024-06-01,981.47,P005
